b:tnow in s;m:u in p.u.
88.2;0.998565
88.22;0.998591
88.24;0.998533
88.26;0.998435
88.28;0.998345
88.3;0.998275
88.32;0.998206
88.34;0.998137
88.36;0.998091
88.38;0.998122
88.4;0.998205
88.42;0.998297
88.44;0.998404
88.46;0.998485
88.48;0.998489
88.5;0.998448
88.52;0.998443
88.54;0.998417
88.56;0.998313
88.58;0.998220
88.6;0.998198
88.62;0.998207
88.64;0.998197
88.66;0.998167
88.68;0.998182
88.7;0.998269
88.72;0.998334
88.74;0.998389
88.76;0.998433
88.78;0.998398
88.8;0.998372
88.82;0.998356
88.84;0.998258
88.86;0.998167
88.88;0.998177
88.9;0.998215
88.92;0.998206
88.94;0.998200
88.96;0.998256
88.98;0.998308
89;0.998270
89.02;0.998224
89.04;0.998258
89.06;0.998306
89.08;0.998311
89.1;0.998245
89.12;0.998163
89.14;0.998178
89.16;0.998235
89.18;0.998219
89.2;0.998169
89.22;0.998194
89.24;0.998295
89.26;0.998391
89.28;0.998389
89.3;0.998285
89.32;0.998223
89.34;0.998235
89.36;0.998204
89.38;0.998115
89.4;0.998068
89.42;0.998097
89.44;0.998150
89.46;0.998175
89.48;0.998193
89.5;0.998247
89.52;0.998297
89.54;0.998333
89.56;0.998398
89.58;0.998434
89.6;0.998363
89.62;0.998228
89.64;0.998120
89.66;0.998051
89.68;0.998024
89.7;0.998063
89.72;0.998105
89.74;0.998114
89.76;0.998166
89.78;0.998276
89.8;0.998332
89.82;0.998315
89.84;0.998337
89.86;0.998409
89.88;0.998430
89.9;0.998393
89.92;0.998350
89.94;0.998293
89.96;0.998229
89.98;0.998173
90;0.998132
90.02;0.998125
90.04;0.998136
90.06;0.998153
90.08;0.998166
90.1;0.998209
90.12;0.998309
90.14;0.998359
90.16;0.998334
90.18;0.998292
90.2;0.998223
90.22;0.998136
90.24;0.998078
90.26;0.998110
90.28;0.998230
90.3;0.998339
90.32;0.998335
90.34;0.998296
90.36;0.998356
90.38;0.998407
90.4;0.998332
90.42;0.998207
90.44;0.998161
90.46;0.998194
90.48;0.998174
90.5;0.998093
90.52;0.998052
90.54;0.998085
90.56;0.998120
90.58;0.998113
90.6;0.998171
90.62;0.998292
90.64;0.998331
90.66;0.998268
90.68;0.998216
90.7;0.998207
90.72;0.998138
90.74;0.998020
90.76;0.997962
90.78;0.997994
90.8;0.998043
90.82;0.998065
90.84;0.998131
90.86;0.998237
90.88;0.998325
90.9;0.998367
90.92;0.998337
90.94;0.998267
90.96;0.998210
90.98;0.998184
91;0.998151
91.02;0.998059
91.04;0.997956
91.06;0.997962
91.08;0.998058
91.1;0.998117
91.12;0.998148
91.14;0.998205
91.16;0.998266
91.18;0.998289
91.2;0.998267
91.22;0.998252
91.24;0.998217
91.26;0.998106
91.28;0.997997
91.3;0.997995
91.32;0.998051
91.34;0.998075
91.36;0.998071
91.38;0.998057
91.4;0.998081
91.42;0.998187
91.44;0.998260
91.46;0.998188
91.48;0.998122
91.5;0.998085
91.52;0.998019
91.54;0.998037
91.56;0.998137
91.58;0.998202
91.6;0.998193
91.62;0.998185
91.64;0.998196
91.66;0.998205
91.68;0.998200
91.7;0.998139
91.72;0.998120
91.74;0.998148
91.76;0.998110
91.78;0.998085
91.8;0.998097
91.82;0.998110
91.84;0.998169
91.86;0.998213
91.88;0.998190
91.9;0.998113
91.92;0.998029
91.94;0.998057
91.96;0.998132
91.98;0.998086
92;0.998030
92.02;0.998059
92.04;0.998103
92.06;0.998147
92.08;0.998156
92.1;0.998105
92.12;0.998072
92.14;0.998119
92.16;0.998155
92.18;0.998166
92.2;0.998231
92.22;0.998273
92.24;0.998239
92.26;0.998185
92.28;0.998117
92.3;0.998034
92.32;0.997950
92.34;0.997940
92.36;0.998064
92.38;0.998177
92.4;0.998206
92.42;0.998210
92.44;0.998202
92.46;0.998152
92.48;0.998065
92.5;0.998006
92.52;0.998023
92.54;0.998105
92.56;0.998172
92.58;0.998193
92.6;0.998187
92.62;0.998119
92.64;0.998027
92.66;0.998008
92.68;0.998018
92.7;0.998020
92.72;0.998057
92.74;0.998074
92.76;0.998065
92.78;0.998088
92.8;0.998114
92.82;0.998094
92.84;0.998029
92.86;0.998011
92.88;0.998062
92.9;0.998070
92.92;0.998094
92.94;0.998160
92.96;0.998160
92.98;0.998136
93;0.998079
93.02;0.997986
93.04;0.997969
93.06;0.998002
93.08;0.998015
93.1;0.998006
93.12;0.997988
93.14;0.998006
93.16;0.998062
93.18;0.998052
93.2;0.997940
93.22;0.997888
93.24;0.997953
93.26;0.998021
93.28;0.998057
93.3;0.998080
93.32;0.998072
93.34;0.998019
93.36;0.997968
93.38;0.997959
93.4;0.997968
93.42;0.997984
93.44;0.998001
93.46;0.998058
93.48;0.998144
93.5;0.998181
93.52;0.998165
93.54;0.998127
93.56;0.998120
93.58;0.998130
93.6;0.998076
93.62;0.998012
93.64;0.997970
93.66;0.997892
93.68;0.997811
93.7;0.997766
93.72;0.997781
93.74;0.997894
93.76;0.998010
93.78;0.998029
93.8;0.998029
93.82;0.998082
93.84;0.998137
93.86;0.998151
93.88;0.998146
93.9;0.998151
93.92;0.998125
93.94;0.998066
93.96;0.998009
93.98;0.997927
94;0.997832
94.02;0.997848
94.04;0.997986
94.06;0.998033
94.08;0.997973
94.1;0.997974
94.12;0.998007
94.14;0.998050
94.16;0.998073
94.18;0.998041
94.2;0.998051
94.22;0.998076
94.24;0.998022
94.26;0.997939
94.28;0.997881
94.3;0.997844
94.32;0.997815
94.34;0.997794
94.36;0.997839
94.38;0.997927
94.4;0.997966
94.42;0.997982
94.44;0.997981
94.46;0.997964
94.48;0.997954
94.5;0.997909
94.52;0.997891
94.54;0.997961
94.56;0.998005
94.58;0.997910
94.6;0.997797
94.62;0.997800
94.64;0.997827
94.66;0.997853
94.68;0.997917
94.7;0.997990
94.72;0.998051
94.74;0.998025
94.76;0.997913
94.78;0.997859
94.8;0.997884
94.82;0.997929
94.84;0.997965
94.86;0.997949
94.88;0.997922
94.9;0.997937
94.92;0.997959
94.94;0.997957
94.96;0.997981
94.98;0.998070
95;0.998137
95.02;0.998134
95.04;0.998102
95.06;0.998058
95.08;0.997990
95.1;0.997846
95.12;0.997704
95.14;0.997716
95.16;0.997833
95.18;0.997931
95.2;0.997957
95.22;0.997948
95.24;0.997924
95.26;0.997895
95.28;0.997903
95.3;0.997934
95.32;0.998015
95.34;0.998098
95.36;0.998031
95.38;0.997892
95.4;0.997839
95.42;0.997858
95.44;0.997874
95.46;0.997906
95.48;0.997974
95.5;0.998008
95.52;0.997949
95.54;0.997863
95.56;0.997821
95.58;0.997792
95.6;0.997790
95.62;0.997835
95.64;0.997929
95.66;0.998016
95.68;0.997989
95.7;0.997910
95.72;0.997845
95.74;0.997838
95.76;0.997884
95.78;0.997938
95.8;0.998034
95.82;0.998154
95.84;0.998211
95.86;0.998130
95.88;0.997953
95.9;0.997823
95.92;0.997839
95.94;0.997859
95.96;0.997773
95.98;0.997794
96;0.997954
96.02;0.998066
96.04;0.998078
96.06;0.998025
96.08;0.997968
96.1;0.997967
96.12;0.998013
96.14;0.998037
96.16;0.998002
96.18;0.997963
96.2;0.997967
96.22;0.997897
96.24;0.997769
96.26;0.997782
96.28;0.997890
96.3;0.997957
96.32;0.997916
96.34;0.997827
96.36;0.997852
96.38;0.997870
96.4;0.997789
96.42;0.997756
96.44;0.997785
96.46;0.997852
96.48;0.997969
96.5;0.998051
96.52;0.998037
96.54;0.997970
96.56;0.997945
96.58;0.997919
96.6;0.997869
96.62;0.997881
96.64;0.997919
96.66;0.997933
96.68;0.997948
96.7;0.997916
96.72;0.997851
96.74;0.997842
96.76;0.997840
96.78;0.997859
96.8;0.997939
96.82;0.997954
96.84;0.997887
96.86;0.997838
96.88;0.997797
96.9;0.997775
96.92;0.997847
96.94;0.997991
96.96;0.998077
96.98;0.998052
97;0.997963
97.02;0.997846
97.04;0.997748
97.06;0.997762
97.08;0.997872
97.1;0.997927
97.12;0.997935
97.14;0.997976
97.16;0.997963
97.18;0.997866
97.2;0.997799
97.22;0.997816
97.24;0.997809
97.26;0.997775
97.28;0.997829
97.3;0.997930
97.32;0.997992
97.34;0.998005
97.36;0.997913
97.38;0.997744
97.4;0.997691
97.42;0.997801
97.44;0.997884
97.46;0.997863
97.48;0.997880
97.5;0.997931
97.52;0.997899
97.54;0.997818
97.56;0.997792
97.58;0.997894
97.6;0.997981
97.62;0.997912
97.64;0.997813
97.66;0.997765
97.68;0.997760
97.7;0.997810
97.72;0.997883
97.74;0.997983
97.76;0.998047
97.78;0.997983
97.8;0.997896
97.82;0.997860
97.84;0.997852
97.86;0.997909
97.88;0.997973
97.9;0.997947
97.92;0.997907
97.94;0.997866
97.96;0.997768
97.98;0.997703
98;0.997693
98.02;0.997724
98.04;0.997859
98.06;0.998046
98.08;0.998138
98.1;0.998109
98.12;0.998036
98.14;0.997976
98.16;0.997946
98.18;0.997940
98.2;0.997915
98.22;0.997845
98.24;0.997772
98.26;0.997773
98.28;0.997814
98.3;0.997821
98.32;0.997802
98.34;0.997827
98.36;0.997917
98.38;0.997973
98.4;0.997945
98.42;0.997913
98.44;0.997908
98.46;0.997868
98.48;0.997825
98.5;0.997874
98.52;0.997949
98.54;0.997953
98.56;0.997931
98.58;0.997930
98.6;0.997895
98.62;0.997818
98.64;0.997776
98.66;0.997798
98.68;0.997829
98.7;0.997846
98.72;0.997895
98.74;0.997925
98.76;0.997860
98.78;0.997814
98.8;0.997848
98.82;0.997863
98.84;0.997835
98.86;0.997833
98.88;0.997904
98.9;0.997970
98.92;0.997888
98.94;0.997744
98.96;0.997719
98.98;0.997771
99;0.997812
99.02;0.997862
99.04;0.997969
99.06;0.998008
99.08;0.997871
99.1;0.997697
99.12;0.997609
99.14;0.997675
99.16;0.997850
99.18;0.997959
99.2;0.997966
99.22;0.997951
99.24;0.997925
99.26;0.997825
99.28;0.997702
99.3;0.997685
99.32;0.997746
99.34;0.997781
99.36;0.997800
99.38;0.997852
99.4;0.997875
99.42;0.997808
99.44;0.997735
99.46;0.997707
99.48;0.997722
99.5;0.997807
99.52;0.997938
99.54;0.998055
99.56;0.998068
99.58;0.997982
99.6;0.997913
99.62;0.997865
99.64;0.997793
99.66;0.997761
99.68;0.997749
99.7;0.997721
99.72;0.997780
99.74;0.997867
99.76;0.997874
99.78;0.997851
99.8;0.997831
99.82;0.997860
99.84;0.997924
99.86;0.997972
99.88;0.998025
99.9;0.998034
99.92;0.997953
99.94;0.997881
99.96;0.997853
99.98;0.997796
100;0.997746
100.02;0.997790
100.04;0.997904
100.06;0.997961
100.08;0.997949
100.1;0.997983
100.12;0.998035
100.14;0.998011
100.16;0.997933
100.18;0.997914
100.2;0.997977
100.22;0.998021
100.24;0.997994
100.26;0.997906
100.28;0.997802
100.3;0.997771
100.32;0.997812
100.34;0.997856
100.36;0.997885
100.38;0.997857
100.4;0.997828
100.42;0.997876
100.44;0.997885
100.46;0.997857
100.48;0.997845
100.5;0.997794
100.52;0.997787
100.54;0.997873
100.56;0.997955
100.58;0.997979
100.6;0.997962
100.62;0.997916
100.64;0.997842
100.66;0.997767
100.68;0.997708
100.7;0.997666
100.72;0.997670
100.74;0.997742
100.76;0.997809
100.78;0.997866
100.8;0.997944
100.82;0.997943
100.84;0.997903
100.86;0.997893
100.88;0.997880
100.9;0.997910
100.92;0.997897
100.94;0.997809
100.96;0.997750
100.98;0.997688
101;0.997576
101.02;0.997496
101.04;0.997595
101.06;0.997797
101.08;0.997898
101.1;0.997915
101.12;0.997900
101.14;0.997822
101.16;0.997758
101.18;0.997766
101.2;0.997737
101.22;0.997704
101.24;0.997731
101.26;0.997736
101.28;0.997718
101.3;0.997694
101.32;0.997698
101.34;0.997702
101.36;0.997641
101.38;0.997684
101.4;0.997868
101.42;0.997988
101.44;0.997967
101.46;0.997868
101.48;0.997814
101.5;0.997781
101.52;0.997652
101.54;0.997571
101.56;0.997662
101.58;0.997772
101.6;0.997764
101.62;0.997709
101.64;0.997699
101.66;0.997734
101.68;0.997773
101.7;0.997810
101.72;0.997885
101.74;0.998003
101.76;0.998068
101.78;0.998004
101.8;0.997856
101.82;0.997737
101.84;0.997736
101.86;0.997827
101.88;0.997847
101.9;0.997805
101.92;0.997832
101.94;0.997839
101.96;0.997751
101.98;0.997694
102;0.997698
102.02;0.997727
102.04;0.997807
102.06;0.997891
102.08;0.997930
102.1;0.997908
102.12;0.997829
102.14;0.997766
102.16;0.997768
102.18;0.997822
102.2;0.997889
102.22;0.997963
102.24;0.998009
102.26;0.997996
102.28;0.997970
102.3;0.997899
102.32;0.997741
102.34;0.997634
102.36;0.997637
102.38;0.997641
102.4;0.997642
102.42;0.997731
102.44;0.997867
102.46;0.997906
102.48;0.997824
102.5;0.997809
102.52;0.997887
102.54;0.997918
102.56;0.997920
102.58;0.997914
102.6;0.997905
102.62;0.997901
102.64;0.997848
102.66;0.997738
102.68;0.997667
102.7;0.997697
102.72;0.997772
102.74;0.997836
102.76;0.997877
102.78;0.997912
102.8;0.997939
102.82;0.997941
102.84;0.997923
102.86;0.997899
102.88;0.997875
102.9;0.997825
102.92;0.997812
102.94;0.997827
102.96;0.997755
102.98;0.997668
103;0.997642
103.02;0.997637
103.04;0.997646
103.06;0.997688
103.08;0.997778
103.1;0.997845
103.12;0.997867
103.14;0.997894
103.16;0.997906
103.18;0.997873
103.2;0.997795
103.22;0.997714
103.24;0.997735
103.26;0.997801
103.28;0.997760
103.3;0.997695
103.32;0.997691
103.34;0.997640
103.36;0.997534
103.38;0.997520
103.4;0.997606
103.42;0.997685
103.44;0.997727
103.46;0.997733
103.48;0.997769
103.5;0.997832
103.52;0.997770
103.54;0.997634
103.56;0.997603
103.58;0.997703
103.6;0.997822
103.62;0.997862
103.64;0.997880
103.66;0.997875
103.68;0.997784
103.7;0.997670
103.72;0.997649
103.74;0.997741
103.76;0.997830
103.78;0.997874
103.8;0.997919
103.82;0.997949
103.84;0.997907
103.86;0.997838
103.88;0.997767
103.9;0.997664
103.92;0.997643
103.94;0.997735
103.96;0.997781
103.98;0.997791
104;0.997845
104.02;0.997837
104.04;0.997730
104.06;0.997645
104.08;0.997623
104.1;0.997625
104.12;0.997679
104.14;0.997776
104.16;0.997849
104.18;0.997869
104.2;0.997854
104.22;0.997851
104.24;0.997866
104.26;0.997876
104.28;0.997835
104.3;0.997783
104.32;0.997753
104.34;0.997715
104.36;0.997749
104.38;0.997793
104.4;0.997713
104.42;0.997617
104.44;0.997626
104.46;0.997666
104.48;0.997679
104.5;0.997738
104.52;0.997822
104.54;0.997868
104.56;0.997858
104.58;0.997774
104.6;0.997694
104.62;0.997661
104.64;0.997626
104.66;0.997640
104.68;0.997733
104.7;0.997796
104.72;0.997782
104.74;0.997736
104.76;0.997681
104.78;0.997647
104.8;0.997641
104.82;0.997673
104.84;0.997739
104.86;0.997784
104.88;0.997793
104.9;0.997770
104.92;0.997697
104.94;0.997635
104.96;0.997642
104.98;0.997670
105;0.997667
105.02;0.997636
105.04;0.997638
105.06;0.997674
105.08;0.997654
105.1;0.997591
105.12;0.997582
105.14;0.997620
105.16;0.997659
105.18;0.997676
105.2;0.997664
105.22;0.997653
105.24;0.997623
105.26;0.997584
105.28;0.997550
105.3;0.997510
105.32;0.997497
105.34;0.997533
105.36;0.997573
105.38;0.997636
105.4;0.997703
105.42;0.997638
105.44;0.997518
105.46;0.997495
105.48;0.997534
105.5;0.997567
105.52;0.997571
105.54;0.997580
105.56;0.997624
105.58;0.997650
105.6;0.997627
105.62;0.997553
105.64;0.997482
105.66;0.997508
105.68;0.997570
105.7;0.997596
105.72;0.997627
105.74;0.997647
105.76;0.997619
105.78;0.997553
105.8;0.997503
105.82;0.997546
105.84;0.997611
105.86;0.997627
105.88;0.997686
105.9;0.997730
105.92;0.997679
105.94;0.997643
105.96;0.997595
105.98;0.997512
106;0.997481
106.02;0.997487
106.04;0.997516
106.06;0.997518
106.08;0.997468
106.1;0.997496
106.12;0.997614
106.14;0.997680
106.16;0.997643
106.18;0.997633
106.2;0.997697
106.22;0.997720
106.24;0.997698
106.26;0.997680
106.28;0.997594
106.3;0.997440
106.32;0.997378
106.34;0.997472
106.36;0.997596
106.38;0.997612
106.4;0.997518
106.42;0.997428
106.44;0.997425
106.46;0.997503
106.48;0.997608
106.5;0.997629
106.52;0.997597
106.54;0.997599
106.56;0.997540
106.58;0.997422
106.6;0.997378
106.62;0.997439
106.64;0.997557
106.66;0.997615
106.68;0.997625
106.7;0.997650
106.72;0.997569
106.74;0.997391
106.76;0.997334
106.78;0.997419
106.8;0.997488
106.82;0.997572
106.84;0.997689
106.86;0.997672
106.88;0.997530
106.9;0.997438
106.92;0.997436
106.94;0.997495
106.96;0.997605
106.98;0.997688
107;0.997630
107.02;0.997529
107.04;0.997564
107.06;0.997579
107.08;0.997473
107.1;0.997443
107.12;0.997519
107.14;0.997583
107.16;0.997604
107.18;0.997603
107.2;0.997524
107.22;0.997378
107.24;0.997350
107.26;0.997455
107.28;0.997535
107.3;0.997554
107.32;0.997512
107.34;0.997476
107.36;0.997478
107.38;0.997475
107.4;0.997503
107.42;0.997579
107.44;0.997635
107.46;0.997640
107.48;0.997604
107.5;0.997535
107.52;0.997422
107.54;0.997351
107.56;0.997427
107.58;0.997531
107.6;0.997539
107.62;0.997512
107.64;0.997494
107.66;0.997486
107.68;0.997451
107.7;0.997416
107.72;0.997497
107.74;0.997617
107.76;0.997620
107.78;0.997583
107.8;0.997607
107.82;0.997622
107.84;0.997557
107.86;0.997487
107.88;0.997482
107.9;0.997501
107.92;0.997510
107.94;0.997511
107.96;0.997460
107.98;0.997406
108;0.997452
108.02;0.997522
108.04;0.997583
108.06;0.997664
108.08;0.997670
108.1;0.997594
108.12;0.997572
108.14;0.997569
108.16;0.997508
108.18;0.997493
108.2;0.997557
108.22;0.997603
108.24;0.997537
108.26;0.997421
108.28;0.997361
108.3;0.997339
108.32;0.997326
108.34;0.997392
108.36;0.997543
108.38;0.997580
108.4;0.997456
108.42;0.997374
108.44;0.997366
108.46;0.997381
108.48;0.997429
108.5;0.997459
108.52;0.997438
108.54;0.997398
108.56;0.997332
108.58;0.997261
108.6;0.997281
108.62;0.997364
108.64;0.997434
108.66;0.997441
108.68;0.997386
108.7;0.997380
108.72;0.997413
108.74;0.997421
108.76;0.997500
108.78;0.997689
108.8;0.997779
108.82;0.997693
108.84;0.997589
108.86;0.997527
108.88;0.997447
108.9;0.997389
108.92;0.997427
108.94;0.997501
108.96;0.997495
108.98;0.997423
109;0.997396
109.02;0.997416
109.04;0.997431
109.06;0.997473
109.08;0.997548
109.1;0.997545
109.12;0.997482
109.14;0.997432
109.16;0.997386
109.18;0.997394
109.2;0.997445
109.22;0.997491
109.24;0.997522
109.26;0.997471
109.28;0.997309
109.3;0.997193
109.32;0.997223
109.34;0.997339
109.36;0.997475
109.38;0.997535
109.4;0.997502
109.42;0.997403
109.44;0.997299
109.46;0.997313
109.48;0.997416
109.5;0.997517
109.52;0.997531
109.54;0.997410
109.56;0.997288
109.58;0.997243
109.6;0.997229
109.62;0.997226
109.64;0.997284
109.66;0.997401
109.68;0.997423
109.7;0.997343
109.72;0.997374
109.74;0.997482
109.76;0.997494
109.78;0.997464
109.8;0.997447
109.82;0.997403
109.84;0.997302
109.86;0.997187
109.88;0.997159
109.9;0.997256
109.92;0.997367
109.94;0.997376
109.96;0.997334
109.98;0.997374
110;0.997447
110.02;0.997432
110.04;0.997451
110.06;0.997522
110.08;0.997499
110.1;0.997404
110.12;0.997290
110.14;0.997203
110.16;0.997223
110.18;0.997317
110.2;0.997439
110.22;0.997541
110.24;0.997566
110.26;0.997542
110.28;0.997512
110.3;0.997510
110.32;0.997510
110.34;0.997469
110.36;0.997422
110.38;0.997407
110.4;0.997380
110.42;0.997317
110.44;0.997286
110.46;0.997308
110.48;0.997357
110.5;0.997420
110.52;0.997496
110.54;0.997539
110.56;0.997448
110.58;0.997280
110.6;0.997245
110.62;0.997328
110.64;0.997373
110.66;0.997361
110.68;0.997331
110.7;0.997350
110.72;0.997416
110.74;0.997464
110.76;0.997502
110.78;0.997533
110.8;0.997518
110.82;0.997434
110.84;0.997308
110.86;0.997243
110.88;0.997264
110.9;0.997300
110.92;0.997336
110.94;0.997362
110.96;0.997372
110.98;0.997350
111;0.997311
111.02;0.997337
111.04;0.997416
111.06;0.997485
111.08;0.997498
111.1;0.997427
111.12;0.997293
111.14;0.997201
111.16;0.997205
111.18;0.997225
111.2;0.997253
111.22;0.997258
111.24;0.997229
111.26;0.997232
111.28;0.997241
111.3;0.997282
111.32;0.997349
111.34;0.997381
111.36;0.997381
111.38;0.997352
111.4;0.997307
111.42;0.997216
111.44;0.997122
111.46;0.997112
111.48;0.997178
111.5;0.997254
111.52;0.997230
111.54;0.997113
111.56;0.997076
111.58;0.997140
111.6;0.997191
111.62;0.997251
111.64;0.997353
111.66;0.997395
111.68;0.997284
111.7;0.997081
111.72;0.997048
111.74;0.997242
111.76;0.997384
111.78;0.997371
111.8;0.997306
111.82;0.997273
111.84;0.997232
111.86;0.997158
111.88;0.997158
111.9;0.997251
111.92;0.997335
111.94;0.997332
111.96;0.997245
111.98;0.997125
112;0.997063
112.02;0.997107
112.04;0.997251
112.06;0.997369
112.08;0.997353
112.1;0.997332
112.12;0.997348
112.14;0.997294
112.16;0.997218
112.18;0.997183
112.2;0.997185
112.22;0.997190
112.24;0.997153
112.26;0.997121
112.28;0.997172
112.3;0.997265
112.32;0.997292
112.34;0.997277
112.36;0.997305
112.38;0.997342
112.4;0.997301
112.42;0.997207
112.44;0.997137
112.46;0.997141
112.48;0.997212
112.5;0.997241
112.52;0.997203
112.54;0.997171
112.56;0.997178
112.58;0.997157
112.6;0.997116
112.62;0.997162
112.64;0.997253
112.66;0.997266
112.68;0.997213
112.7;0.997204
112.72;0.997185
112.74;0.997127
112.76;0.997164
112.78;0.997277
112.8;0.997328
112.82;0.997288
112.84;0.997256
112.86;0.997262
112.88;0.997257
112.9;0.997300
112.92;0.997342
112.94;0.997271
112.96;0.997198
112.98;0.997209
113;0.997163
113.02;0.997060
113.04;0.997067
113.06;0.997177
113.08;0.997318
113.1;0.997369
113.12;0.997327
113.14;0.997341
113.16;0.997392
113.18;0.997463
113.2;0.997532
113.22;0.997493
113.24;0.997343
113.26;0.997084
113.28;0.996858
113.3;0.996871
113.32;0.996989
113.34;0.997039
113.36;0.997040
113.38;0.997032
113.4;0.997032
113.42;0.997069
113.44;0.997160
113.46;0.997261
113.48;0.997339
113.5;0.997372
113.52;0.997295
113.54;0.997149
113.56;0.997121
113.58;0.997154
113.6;0.997138
113.62;0.997197
113.64;0.997280
113.66;0.997207
113.68;0.997099
113.7;0.997071
113.72;0.997063
113.74;0.997109
113.76;0.997223
113.78;0.997354
113.8;0.997356
113.82;0.997229
113.84;0.997118
113.86;0.996975
113.88;0.996898
113.9;0.997025
113.92;0.997078
113.94;0.996791
113.96;0.996407
113.98;0.996315
114;0.996486
114.02;0.996584
114.04;0.996528
114.06;0.996580
114.08;0.996722
114.1;0.996737
114.12;0.996725
114.14;0.996785
114.16;0.996881
114.18;0.996969
114.2;0.996967
114.22;0.996921
114.24;0.996876
114.26;0.996847
114.28;0.996900
114.3;0.996919
114.32;0.996840
114.34;0.996783
114.36;0.996774
114.38;0.996812
114.4;0.996855
114.42;0.996878
114.44;0.996942
114.46;0.997013
114.48;0.997001
114.5;0.996928
114.52;0.996884
114.54;0.996895
114.56;0.996922
114.58;0.996975
114.6;0.997062
114.62;0.997048
114.64;0.996956
114.66;0.996923
114.68;0.996894
114.7;0.996872
114.72;0.996905
114.74;0.996925
114.76;0.996897
114.78;0.996894
114.8;0.996920
114.82;0.996942
114.84;0.996996
114.86;0.996992
114.88;0.996876
114.9;0.996727
114.92;0.996642
114.94;0.996689
114.96;0.996797
114.98;0.996911
115;0.996973
115.02;0.996949
115.04;0.996925
115.06;0.996970
115.08;0.997056
115.1;0.997100
115.12;0.997088
115.14;0.997067
115.16;0.996983
115.18;0.996819
115.2;0.996733
115.22;0.996749
115.24;0.996766
115.26;0.996774
115.28;0.996748
115.3;0.996721
115.32;0.996727
115.34;0.996736
115.36;0.996800
115.38;0.996929
115.4;0.997012
115.42;0.996959
115.44;0.996820
115.46;0.996707
115.48;0.996662
115.5;0.996708
115.52;0.996720
115.54;0.996579
115.56;0.996457
115.58;0.996461
115.6;0.996524
115.62;0.996627
115.64;0.996784
115.66;0.996891
115.68;0.996789
115.7;0.996616
115.72;0.996639
115.74;0.996813
115.76;0.996925
115.78;0.996917
115.8;0.996837
115.82;0.996750
115.84;0.996686
115.86;0.996690
115.88;0.996772
115.9;0.996831
115.92;0.996805
115.94;0.996774
115.96;0.996781
115.98;0.996792
116;0.996819
116.02;0.996869
116.04;0.996888
116.06;0.996851
116.08;0.996781
116.1;0.996733
116.12;0.996737
116.14;0.996769
116.16;0.996806
116.18;0.996809
116.2;0.996745
116.22;0.996693
116.24;0.996749
116.26;0.996905
116.28;0.997051
116.3;0.997028
116.32;0.996820
116.34;0.996662
116.36;0.996671
116.38;0.996757
116.4;0.996818
116.42;0.996780
116.44;0.996702
116.46;0.996663
116.48;0.996663
116.5;0.996727
116.52;0.996804
116.54;0.996821
116.56;0.996775
116.58;0.996659
116.6;0.996608
116.62;0.996684
116.64;0.996774
116.66;0.996822
116.68;0.996798
116.7;0.996751
116.72;0.996707
116.74;0.996673
116.76;0.996721
116.78;0.996789
116.8;0.996775
116.82;0.996738
116.84;0.996724
116.86;0.996744
116.88;0.996827
116.9;0.996877
116.92;0.996811
116.94;0.996724
116.96;0.996684
116.98;0.996634
117;0.996617
117.02;0.996689
117.04;0.996740
117.06;0.996722
117.08;0.996678
117.1;0.996691
117.12;0.996812
117.14;0.996938
117.16;0.996926
117.18;0.996820
117.2;0.996778
117.22;0.996800
117.24;0.996841
117.26;0.996854
117.28;0.996721
117.3;0.996541
117.32;0.996501
117.34;0.996566
117.36;0.996629
117.38;0.996690
117.4;0.996727
117.42;0.996697
117.44;0.996669
117.46;0.996754
117.48;0.996913
117.5;0.996953
117.52;0.996799
117.54;0.996607
117.56;0.996503
117.58;0.996491
117.6;0.996519
117.62;0.996534
117.64;0.996507
117.66;0.996491
117.68;0.996586
117.7;0.996739
117.72;0.996867
117.74;0.996952
117.76;0.996922
117.78;0.996815
117.8;0.996747
117.82;0.996760
117.84;0.996785
117.86;0.996726
117.88;0.996603
117.9;0.996525
117.92;0.996544
117.94;0.996659
117.96;0.996827
117.98;0.996891
118;0.996836
118.02;0.996781
118.04;0.996775
118.06;0.996825
118.08;0.996831
118.1;0.996770
118.12;0.996702
118.14;0.996627
118.16;0.996636
118.18;0.996759
118.2;0.996820
118.22;0.996753
118.24;0.996677
118.26;0.996626
118.28;0.996623
118.3;0.996694
118.32;0.996714
118.34;0.996647
118.36;0.996568
118.38;0.996580
118.4;0.996686
118.42;0.996722
118.44;0.996635
118.46;0.996526
118.48;0.996494
118.5;0.996558
118.52;0.996664
118.54;0.996760
118.56;0.996748
118.58;0.996665
118.6;0.996639
118.62;0.996669
118.64;0.996704
118.66;0.996698
118.68;0.996626
118.7;0.996551
118.72;0.996558
118.74;0.996614
118.76;0.996659
118.78;0.996664
118.8;0.996583
118.82;0.996525
118.84;0.996597
118.86;0.996695
118.88;0.996692
118.9;0.996629
118.92;0.996592
118.94;0.996565
118.96;0.996615
118.98;0.996726
119;0.996704
119.02;0.996569
119.04;0.996533
119.06;0.996638
119.08;0.996748
119.1;0.996702
119.12;0.996546
119.14;0.996541
119.16;0.996674
119.18;0.996766
119.2;0.996775
119.22;0.996681
119.24;0.996564
119.26;0.996557
119.28;0.996640
119.3;0.996678
119.32;0.996591
119.34;0.996507
119.36;0.996509
119.38;0.996520
