b:tnow in s;m:u in p.u.
7.1;0.999645
7.12;0.999662
7.14;0.999717
7.16;0.999770
7.18;0.999786
7.2;0.999774
7.22;0.999749
7.24;0.999744
7.26;0.999838
7.28;0.999904
7.3;0.999838
7.32;0.999809
7.34;0.999820
7.36;0.999741
7.38;0.999680
7.4;0.999695
7.42;0.999720
7.44;0.999777
7.46;0.999854
7.48;0.999918
7.5;0.999943
7.52;0.999933
7.54;0.999888
7.56;0.999758
7.58;0.999656
7.6;0.999676
7.62;0.999692
7.64;0.999648
7.66;0.999652
7.68;0.999726
7.7;0.999751
7.72;0.999731
7.74;0.999831
7.76;0.999957
7.78;0.999877
7.8;0.999723
7.82;0.999705
7.84;0.999739
7.86;0.999744
7.88;0.999703
7.9;0.999635
7.92;0.999640
7.94;0.999682
7.96;0.999683
7.98;0.999729
8;0.999830
8.02;0.999882
8.04;0.999874
8.06;0.999796
8.08;0.999690
8.1;0.999685
8.12;0.999743
8.14;0.999754
8.16;0.999701
8.18;0.999693
8.2;0.999730
8.22;0.999721
8.24;0.999723
8.26;0.999788
8.28;0.999850
8.3;0.999851
8.32;0.999848
8.34;0.999884
8.36;0.999885
8.38;0.999833
8.4;0.999773
8.42;0.999725
8.44;0.999693
8.46;0.999695
8.48;0.999725
8.5;0.999750
8.52;0.999742
8.54;0.999697
8.56;0.999681
8.58;0.999700
8.6;0.999747
8.62;0.999843
8.64;0.999831
8.66;0.999712
8.68;0.999677
8.7;0.999734
8.72;0.999799
8.74;0.999825
8.76;0.999858
8.78;0.999907
8.8;0.999846
8.82;0.999727
8.84;0.999731
8.86;0.999796
8.88;0.999817
8.9;0.999813
8.92;0.999764
8.94;0.999707
8.96;0.999727
8.98;0.999812
9;0.999870
9.02;0.999796
9.04;0.999709
9.06;0.999787
9.08;0.999851
9.1;0.999788
9.12;0.999759
9.14;0.999778
9.16;0.999767
9.18;0.999729
9.2;0.999690
9.22;0.999730
9.24;0.999861
9.26;0.999912
9.28;0.999815
9.3;0.999730
9.32;0.999750
9.34;0.999795
9.36;0.999835
9.38;0.999905
9.4;0.999940
9.42;0.999905
9.44;0.999890
9.46;0.999885
9.48;0.999878
9.5;0.999880
9.52;0.999786
9.54;0.999711
9.56;0.999781
9.58;0.999827
9.6;0.999794
9.62;0.999758
9.64;0.999741
9.66;0.999773
9.68;0.999813
9.7;0.999849
9.72;0.999900
9.74;0.999921
9.76;0.999919
